Case	Project	pos. predictive value rate	true positive rate
APP	EggNOG	0.913 +- 0.162856	0.2442 +- 0.128407
APP	PANTHER 8.0 (all)	0.9718 +- 0.054428	0.8023 +- 0.119034
APP	RBH / BBH	0.9512 +- 0.0932486	0.4535 +- 0.148801
APP	RSD 0.8 1e-5 Deluca	0.931 +- 0.130428	0.314 +- 0.138717
APP	metaPhOrs incomplete	0.971 +- 0.0559823	0.7791 +- 0.124005
APP	orthoinspector 1.30 (blast threshold 10-9)	0.9688 +- 0.0602852	0.7209 +- 0.134068
APP	phylomeDB	0.9706 +- 0.056793	0.7674 +- 0.126273
APP	Ensembl Compara (e81)	0.9459 +- 0.103043	0.407 +- 0.146839
APP	Hieranoid 2	0.9452 +- 0.0738314	0.8023 +- 0.119034
APP	InParanoid	0.9683 +- 0.0612267	0.7093 +- 0.135725
APP	InParanoidCore	0.9487 +- 0.0979016	0.4302 +- 0.147987
APP	OMA GETHOGs	0.9701 +- 0.0576277	0.7558 +- 0.128407
APP	OMA Groups (RefSet5)	0.9167 +- 0.15638	0.2558 +- 0.130414
APP	PANTHER 8.0 (LDO only)	0.9487 +- 0.0979016	0.4302 +- 0.147987
APP	OMA Pairs (Refset5)	0.96 +- 0.076816	0.5581 +- 0.148435
ASTER	EggNOG	0.9845 +- 0.0301509	0.386 +- 0.0743969
ASTER	PANTHER 8.0 (all)	0.989 +- 0.0215377	0.5441 +- 0.0761114
ASTER	RBH / BBH	0.9898 +- 0.019797	0.5927 +- 0.0750839
ASTER	RSD 0.8 1e-5 Deluca	0.9868 +- 0.025788	0.4529 +- 0.0760687
ASTER	metaPhOrs incomplete	0.9864 +- 0.0264847	0.4407 +- 0.07587
ASTER	orthoinspector 1.30 (blast threshold 10-9)	0.9845 +- 0.0301509	0.386 +- 0.0743969
ASTER	phylomeDB	0.9877 +- 0.0239008	0.4894 +- 0.0763915
ASTER	Ensembl Compara (e81)	0.9845 +- 0.0301509	0.386 +- 0.0743969
ASTER	Hieranoid 2	0.9892 +- 0.0210743	0.5562 +- 0.0759241
ASTER	InParanoid	0.9886 +- 0.0222717	0.5258 +- 0.0763067
ASTER	InParanoidCore	0.9841 +- 0.030863	0.3769 +- 0.0740569
ASTER	OMA GETHOGs	0.989 +- 0.0215377	0.5441 +- 0.0761114
ASTER	OMA Groups (RefSet5)	0.9825 +- 0.0340832	0.3404 +- 0.0724129
ASTER	PANTHER 8.0 (LDO only)	0.989 +- 0.0215377	0.5441 +- 0.0761114
ASTER	OMA Pairs (Refset5)	0.9853 +- 0.0286106	0.4073 +- 0.0750839
BAMBI	EggNOG	0.9759 +- 0.0466562	0.757 +- 0.114928
BAMBI	PANTHER 8.0 (all)	0.9681 +- 0.0502529	0.8505 +- 0.09556
BAMBI	RBH / BBH	0.9783 +- 0.0421432	0.8411 +- 0.0979582
BAMBI	RSD 0.8 1e-5 Deluca	0.9747 +- 0.0489882	0.7196 +- 0.120365
BAMBI	metaPhOrs incomplete	0.9744 +- 0.0496078	0.7103 +- 0.121558
BAMBI	orthoinspector 1.30 (blast threshold 10-9)	0.9756 +- 0.0472181	0.7477 +- 0.116392
BAMBI	phylomeDB	0.9759 +- 0.0466562	0.757 +- 0.114928
BAMBI	Ensembl Compara (e81)	0.9571 +- 0.0670999	0.6262 +- 0.129647
BAMBI	Hieranoid 2	0.9714 +- 0.0551941	0.6355 +- 0.128968
BAMBI	InParanoid	0.9714 +- 0.0551941	0.6355 +- 0.128968
BAMBI	InParanoidCore	0.9661 +- 0.0653048	0.5327 +- 0.133696
BAMBI	OMA GETHOGs	0.975 +- 0.0483838	0.729 +- 0.119108
BAMBI	OMA Groups (RefSet5)	0.9714 +- 0.0551941	0.6355 +- 0.128968
BAMBI	PANTHER 8.0 (LDO only)	0.9756 +- 0.0472181	0.7477 +- 0.116392
BAMBI	OMA Pairs (Refset5)	0.974 +- 0.0502437	0.7009 +- 0.122688
BAR	EggNOG	0.9878 +- 0.0237565	0.4894 +- 0.0761606
BAR	PANTHER 8.0 (all)	0.5772 +- 0.068897	0.6888 +- 0.0705366
BAR	RBH / BBH	0.7792 +- 0.0742186	0.565 +- 0.075532
BAR	RSD 0.8 1e-5 Deluca	0.8313 +- 0.066593	0.6103 +- 0.0743018
BAR	metaPhOrs incomplete	0.9829 +- 0.0209729	0.8701 +- 0.0512224
BAR	orthoinspector 1.30 (blast threshold 10-9)	0.83 +- 0.0654537	0.6344 +- 0.0733721
BAR	phylomeDB	0.9921 +- 0.0154937	0.7553 +- 0.0655001
BAR	Ensembl Compara (e81)	0.9911 +- 0.0173446	0.6737 +- 0.071432
BAR	Hieranoid 2	0.9916 +- 0.0164702	0.71 +- 0.0691352
BAR	InParanoid	0.8178 +- 0.0652306	0.6647 +- 0.0719285
BAR	InParanoidCore	0.947 +- 0.0540647	0.3776 +- 0.0738613
BAR	OMA GETHOGs	0.9533 +- 0.0364792	0.7402 +- 0.066813
BAR	OMA Groups (RefSet5)	0.9688 +- 0.0426281	0.3746 +- 0.0737437
BAR	PANTHER 8.0 (LDO only)	0.99 +- 0.0195018	0.5982 +- 0.0746943
BAR	OMA Pairs (Refset5)	0.9388 +- 0.0474664	0.5559 +- 0.0757002
CASP	EggNOG	0.5 +- 0.692965	0.5 +- 0.692965
CASP	PANTHER 8.0 (all)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	RBH / BBH	0.5 +- 0.692965	0.5 +- 0.692965
CASP	RSD 0.8 1e-5 Deluca	0.5 +- 0.692965	0.5 +- 0.692965
CASP	metaPhOrs incomplete	0.5 +- 0.692965	0.5 +- 0.692965
CASP	orthoinspector 1.30 (blast threshold 10-9)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	phylomeDB	0.5 +- 0.692965	0.5 +- 0.692965
CASP	Ensembl Compara (e81)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	Hieranoid 2	0.5 +- 0.692965	0.5 +- 0.692965
CASP	InParanoid	0.5 +- 0.692965	0.5 +- 0.692965
CASP	InParanoidCore	0.5 +- 0.692965	0.5 +- 0.692965
CASP	OMA GETHOGs	0.5 +- 0.692965	0.5 +- 0.692965
CASP	OMA Groups (RefSet5)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	PANTHER 8.0 (LDO only)	0.5 +- 0.692965	0.5 +- 0.692965
CASP	OMA Pairs (Refset5)	0.5 +- 0.692965	0.5 +- 0.692965
CITE	EggNOG	0.931 +- 0.130428	0.4154 +- 0.169424
CITE	PANTHER 8.0 (all)	0.9592 +- 0.0783502	0.7231 +- 0.153846
CITE	RBH / BBH	0.9412 +- 0.111852	0.4923 +- 0.171883
